Confidence Level,VaR Amount,Number of Days,Expected Breaches,Actual Breaches,Expected Breach Rate,Actual Breach Rate
0.95,2836.64918831097,2888,144.4,145,0.05,0.05020775623268698
0.99,5256.976985567975,2888,28.88,29,0.01,0.010041551246537396
