Date,Portfolio Return,Estimated Loss
2020-03-16,-0.0867282691277457,16833.2220124385
2020-03-12,-0.0835228636124978,16211.07996785801
2020-03-09,-0.0586293155264426,11379.453258086352
2025-04-04,-0.0520650550306976,10105.38592821034
2020-06-11,-0.0444127656970683,8620.14142198523
2025-04-03,-0.042939451299831,8334.183583874941
2022-09-13,-0.0406195012212382,7883.900935281953
2020-03-18,-0.0402949281156742,7820.904046260937
2020-03-11,-0.0392848637298914,7624.859109313155
2022-06-13,-0.0376191135986637,7301.551126135222
