Date,Historical Loss
2015-01-05,1913.7002333694202
2015-01-06,1066.0913689846027
2015-01-07,-1576.1036458462083
2015-01-08,-2334.6715040391687
2015-01-09,741.486297292905
2015-01-12,823.4511729436471
2015-01-13,345.3651527661537
2015-01-14,765.2105758619097
2015-01-15,631.8912554044687
2015-01-16,-1998.7485526051557
2015-01-20,-781.2102740937586
2015-01-21,-621.4284511418786
2015-01-22,-2383.1745375015744
2015-01-23,585.4551415848124
2015-01-26,29.860114681324422
2015-01-27,1859.8483653018222
2015-01-28,1630.4101612978156
2015-01-29,-676.1563719105831
2015-01-30,855.5440612805022
2015-02-02,-1271.14510768695
2015-02-03,-1461.683509644159
2015-02-04,295.3437984533939
2015-02-05,-1348.7666296152938
2015-02-06,1358.6832012620819
2015-02-09,492.9099379451904
2015-02-10,-1408.807567120685
2015-02-11,120.51907259820041
2015-02-12,-1474.0709718481248
2015-02-13,-805.654129350334
2015-02-17,334.27969221551564
2015-02-18,-224.66009069545848
2015-02-19,7.221299822078379
2015-02-20,-717.5585437265042
2015-02-23,-113.05195263974002
2015-02-24,-396.3734814605153
2015-02-25,36.54383951601465
2015-02-26,-54.927681573751684
2015-02-27,471.7444786503645
2015-03-02,-770.7609605266686
2015-03-03,673.940822583147
2015-03-04,647.6144602118401
2015-03-05,-186.15912237432366
2015-03-06,2702.652457216638
2015-03-09,-584.548375390717
2015-03-10,2318.6529832675765
2015-03-11,497.34584956454484
2015-03-12,-1580.5018594511262
2015-03-13,776.2415025766753
2015-03-16,-1869.2174000470384
2015-03-17,331.58569286912723
2015-03-18,-2240.339167563497
2015-03-19,512.5179979328518
2015-03-20,-1492.480541370234
2015-03-23,100.83586548888862
2015-03-24,599.7881094120181
2015-03-25,2368.633188638946
2015-03-26,291.4591860448602
2015-03-27,-329.2186935636938
2015-03-30,-1450.6185147983724
2015-03-31,1279.957190865538
2015-04-01,-41.107030074231574
2015-04-02,-281.2546225117837
2015-04-06,-1313.2153602938483
2015-04-07,463.9866991837864
2015-04-08,-493.14675597903505
2015-04-09,-413.52433443174283
2015-04-10,-949.7476978753336
2015-04-13,711.4953496119135
2015-04-14,-1.3951220396601716
2015-04-15,-941.2784659257461
2015-04-16,172.84347358824456
2015-04-17,1579.2307359576105
2015-04-20,-1213.5547605476456
2015-04-21,-147.08106280706448
2015-04-22,-245.8377138451234
2015-04-23,-646.0581225328348
2015-04-24,-371.48648690481843
2015-04-27,113.85690169559996
2015-04-28,-367.2517669808828
2015-04-29,921.3194120221962
2015-04-30,2014.572562404627
2015-05-01,-1365.5888800215926
