Date,Portfolio Return
2015-01-05,-0.009859782562533392
2015-01-06,-0.005492724987274711
2015-01-07,0.008120414562890366
2015-01-08,0.012028714311352218
2015-01-09,-0.0038202919856125117
2015-01-12,-0.004242592112659316
2015-01-13,-0.001779393267332674
2015-01-14,-0.003942524414738302
2015-01-15,-0.0032556354818877864
2015-01-16,0.010297969233753479
2015-01-20,0.004024958195578909
2015-01-21,0.003201728933085235
2015-01-22,0.01227861205145997
2015-01-23,-0.0030163869426822476
2015-01-26,-0.0001538455359499924
2015-01-27,-0.00958232651143709
2015-01-28,-0.008400213052092043
2015-01-29,0.003483698590333484
2015-01-30,-0.0044079413639618314
2015-02-02,0.006549204597814384
2015-02-03,0.007530898167346312
2015-02-04,-0.0015216728216707054
2015-02-05,0.006949126860999133
2015-02-06,-0.007000219105488759
2015-02-09,-0.002539574760094254
2015-02-10,0.007258470288110219
2015-02-11,-0.00062093938733776
2015-02-12,0.007594720955107492
2015-02-13,0.0041508980338134105
2015-02-17,-0.0017222786635253673
2015-02-18,0.0011574956234583489
2015-02-19,-3.72056421497069e-05
2015-02-20,0.0036970112108805075
2015-02-23,0.0005824672285978938
2015-02-24,0.002042198810768836
2015-02-25,-0.00018828147969329745
2015-02-26,0.00028299886656113493
2015-02-27,-0.002430525901320979
2015-03-02,0.0039711211536521684
2015-03-03,-0.0034722836183100902
2015-03-04,-0.003336644710963288
2015-03-05,0.0009591306081471185
2015-03-06,-0.013924628897251323
2015-03-09,0.003011715094211498
2015-03-10,-0.01194618355286281
2015-03-11,-0.0025624295015374
2015-03-12,0.008143075076304074
2015-03-13,-0.003999358048854207
2015-03-16,0.009630597731661528
2015-03-17,-0.0017083986172590215
2015-03-18,0.011542694447818969
2015-03-19,-0.0026405995729569254
2015-03-20,0.007689570895235365
2015-03-23,-0.000519527400837938
2015-03-24,-0.003090233381005114
2015-03-25,-0.012203691990600118
2015-03-26,-0.001501658488694213
2015-03-27,0.001696203343375391
2015-03-30,0.007473889007117096
2015-03-31,-0.006594606287456672
2015-04-01,0.00021179198876408734
2015-04-02,0.0014490824499671096
2015-04-06,0.006765959309875225
2015-04-07,-0.002390556204199701
2015-04-08,0.0025407948959754734
2015-04-09,0.0021305635808146484
2015-04-10,0.004893298138878288
2015-04-13,-0.003665772370772813
2015-04-14,7.187959597532156e-06
2015-04-15,0.004849662890243911
2015-04-16,-0.0008905256096105596
2015-04-17,-0.008136525983066911
2015-04-20,0.006252487123158179
2015-04-21,0.0007577922984263186
2015-04-22,0.0012666071529476852
2015-04-23,0.003328626134782242
2015-04-24,0.001913975826481451
2015-04-27,-0.000586614493946036
2015-04-28,0.0018921576665966722
2015-04-29,-0.004746829683552889
2015-04-30,-0.010379497831163653
2015-05-01,0.0070357986021247765
2015-05-04,0.0028399698190899603
2015-05-05,-0.009103782677689964
2015-05-06,-0.003708065585840581
2015-05-07,0.002486633888401979
2015-05-08,0.010299343721325238
2015-05-11,-0.004473555609469826
2015-05-12,-0.0015621139014028174
2015-05-13,0.0026556992206683283
2015-05-14,0.009132488989958887
2015-05-15,0.0015998728171762178
2015-05-18,0.002005810515974815
2015-05-19,-0.0024558884623073762
2015-05-20,-6.420965334730244e-05
2015-05-21,0.002503114690066033
2015-05-22,-0.001593574487836369
2015-05-26,-0.009295649166820574
2015-05-27,0.008011716036280703
2015-05-28,-0.0008195046295008668
2015-05-29,-0.004413197175973105
2015-06-01,0.0011623208221036574
2015-06-02,-0.0009894582119199802
2015-06-03,0.0005744511532752572
2015-06-04,-0.006397759701020189
2015-06-05,-0.0024490005526262015
2015-06-08,-0.004616555094201336
2015-06-09,-0.000670404780665268
2015-06-10,0.009737415668031879
2015-06-11,0.002118790172006557
2015-06-12,-0.005608234976679172
2015-06-15,-0.0027189351565807263
2015-06-16,0.003911413288680388
2015-06-17,0.002002369009500571
2015-06-18,0.009636523948185038
2015-06-19,-0.0030801535200543073
2015-06-22,0.0019656472254692137
2015-06-23,-0.0005691118159893982
2015-06-24,-0.005021348776163115
2015-06-25,-0.002405498662072292
2015-06-26,-0.0014831227454412677
2015-06-29,-0.014372908681139274
2015-06-30,0.0009550319200004598
2015-07-01,0.004719665444427701
2015-07-02,-0.00038396557669329034
2015-07-06,-0.0010699682338999317
2015-07-07,0.002493874338500568
2015-07-08,-0.011468983785328568
2015-07-09,0.0007214497045913149
2015-07-10,0.008884801980072243
2015-07-13,0.008275666022741213
2015-07-14,0.0035899030753359096
2015-07-15,-0.00035276387478289095
2015-07-16,0.006303196423400603
2015-07-17,0.0018045796984174078
2015-07-20,-0.00252528367943583
2015-07-21,-0.002451450223932672
2015-07-22,-0.003532836850263621
2015-07-23,-0.0039676798673929925
2015-07-24,-0.006332364500367671
2015-07-27,-0.005056570199803101
2015-07-28,0.008149339808968481
2015-07-29,0.0045074808086673634
2015-07-30,0.0001657010979159157
2015-07-31,0.000278393664851162
2015-08-03,-0.0030034490724775154
2015-08-04,-0.0016696209587634403
2015-08-05,0.0025493726356129454
2015-08-06,-0.006822670800861852
2015-08-07,-0.0008503724194789397
2015-08-10,0.00981414827892535
2015-08-11,-0.006111986768305933
2015-08-12,0.002799413243913751
2015-08-13,-0.002284848123456862
2015-08-14,0.002246196154692681
2015-08-17,0.005287962672198665
2015-08-18,-0.002756785065520573
2015-08-19,-0.0036203169412505343
2015-08-20,-0.014359356951643809
2015-08-21,-0.02283491270185367
2015-08-24,-0.02981563077665106
2015-08-25,-0.009115193579426473
2015-08-26,0.026280084748200983
2015-08-27,0.017980701589213277
2015-08-28,0.0012845712703128953
2015-08-31,-0.006539011982364729
2015-09-01,-0.02074334099977515
2015-09-02,0.01425335570616948
2015-09-03,-0.001149327868450234
2015-09-04,-0.010112977909873422
2015-09-08,0.018093568596056153
2015-09-09,-0.010888317047444196
2015-09-10,0.004744884902970314
2015-09-11,0.003522090994032112
2015-09-14,-0.002461094776360251
2015-09-15,0.007833234783952703
2015-09-16,0.007166416111822782
2015-09-17,0.0011207712935883407
2015-09-18,-0.009968475378643094
2015-09-21,0.0017895262697409375
2015-09-22,-0.010270013365562214
2015-09-23,-0.0003080801864939753
2015-09-24,5.2647067962707794e-05
2015-09-25,-0.002989071950331601
2015-09-28,-0.01991840015338664
2015-09-29,-0.001103428729839373
2015-09-30,0.012962259669646592
2015-10-01,0.0020292884192871785
2015-10-02,0.014245765577171499
2015-10-05,0.011327902062459705
2015-10-06,-0.0012221446667899372
2015-10-07,0.005451603315592468
2015-10-08,0.0046628361599168056
2015-10-09,0.003138021409944791
2015-10-12,0.0015660528742080793
2015-10-13,-0.004030807493483501
2015-10-14,-0.0002028652930743391
2015-10-15,0.010224702470978286
2015-10-16,0.0021450676882592834
2015-10-19,0.0008700870172053676
2015-10-20,-0.0010524019589879252
2015-10-21,-0.005533215762873356
2015-10-22,0.012591389472137005
2015-10-23,0.010219814685080486
2015-10-26,-0.0011175632407897096
2015-10-27,-0.0006165264974270501
2015-10-28,0.006590672281590715
2015-10-29,-0.002436231205782291
2015-10-30,-0.003200191344913561
2015-11-02,0.0076740652939966125
2015-11-03,0.00017658776928275444
2015-11-04,-0.0025309483525599585
2015-11-05,-0.0016962962132927029
2015-11-06,-0.0022917978922846194
2015-11-09,-0.007027360532944504
2015-11-10,0.0007311467921238268
2015-11-11,-0.0028187549147816737
2015-11-12,-0.00959163089118853
2015-11-13,-0.00964274067793025
2015-11-16,0.010971269845887033
2015-11-17,-0.0016999769018379851
2015-11-18,0.012246266844908593
2015-11-19,0.0010047742105465662
2015-11-20,0.0028117129828724163
2015-11-23,-0.001975652210142509
2015-11-24,0.0015940389905402252
2015-11-25,-0.00026296604403841517
2015-11-27,-0.0002791973207558751
2015-11-30,-0.0021375646236406753
2015-12-01,0.008049825943062139
2015-12-02,-0.008711902553306006
2015-12-03,-0.011054624203325925
2015-12-04,0.017897473511933493
2015-12-07,-0.005660719090173405
2015-12-08,-0.0033411844501125554
2015-12-09,-0.007480085667790459
2015-12-10,0.00218798810501597
2015-12-11,-0.01387014748973392
2015-12-14,0.001680911153138842
2015-12-15,0.006424628716220626
2015-12-16,0.011911542989789803
2015-12-17,-0.013081336221430262
2015-12-18,-0.011125527734240026
2015-12-21,0.0075246179227761445
2015-12-22,0.005340248929352143
2015-12-23,0.007860004481583749
2015-12-24,5.005930185508767e-05
2015-12-28,-0.0021862774385593697
2015-12-29,0.008181525016242919
2015-12-30,-0.006391660706235647
2015-12-31,-0.007388447913474483
2016-01-04,-0.010211365624477109
2016-01-05,0.0012258880503694947
2016-01-06,-0.006424221536701968
2016-01-07,-0.017093115309034013
2016-01-08,-0.0077864808741142655
2016-01-11,-0.0009555844062190122
2016-01-12,0.006018388163046451
2016-01-13,-0.01878065409380625
2016-01-14,0.01018685373205419
2016-01-15,-0.015518126545708388
2016-01-19,0.0003718839035631305
2016-01-20,-0.0051196129427687476
2016-01-21,0.0029173744683104186
2016-01-22,0.015523461478955669
2016-01-25,-0.009729817000066254
2016-01-26,0.010787446109424392
2016-01-27,-0.009835013520837488
2016-01-28,0.0038148767331154243
2016-01-29,0.017749294979162222
2016-02-01,0.0012849854031797836
2016-02-02,-0.013119947922086705
2016-02-03,0.0038339291790245866
2016-02-04,0.002590429259142768
2016-02-05,-0.014617988744721866
2016-02-08,-0.007645676477489927
2016-02-09,-0.0010240722142179637
2016-02-10,0.0018113300741444682
2016-02-11,-0.0015650225685993613
2016-02-12,0.011775607010812816
2016-02-16,0.008533611930404694
2016-02-17,0.013360601127199834
2016-02-18,-0.0004000778310382369
2016-02-19,-0.000655799805662105
2016-02-22,0.008175150316088287
2016-02-23,-0.007460752276935656
2016-02-24,0.004717354263823026
2016-02-25,0.008682687110127096
2016-02-26,-0.002255215262732091
2016-02-29,-0.003953001986527371
2016-03-01,0.016530802831479674
2016-03-02,0.003562280728710565
2016-03-03,0.004282910291884656
2016-03-04,0.0015593725996481123
2016-03-07,0.00020515776993512702
2016-03-08,-0.00763536886459748
2016-03-09,0.0023572682602579498
2016-03-10,0.002015079046518986
2016-03-11,0.009281530118415482
2016-03-14,-0.0017084061859902189
2016-03-15,-0.001306615571630254
2016-03-16,0.008229082847482694
2016-03-17,0.003402271855791117
2016-03-18,0.0022624113696130266
2016-03-21,0.00017470274782493966
