Date,Cumulative Return
2015-01-02,0.0
2015-01-05,-0.009859782562533392
2015-01-06,-0.015298350475757894
2015-01-07,-0.007302164860859106
2015-01-08,0.004638713795527272
2015-01-09,0.0008007005687782343
2015-01-12,-0.003445288589798756
2015-01-13,-0.0052185513338107725
2015-01-14,-0.009140501482506003
2015-01-15,-0.012366378823445046
2015-01-16,-0.0021957581783483837
2015-01-20,0.0018203621823551508
2015-01-21,0.005027919421708216
2015-01-22,0.017368267345173383
2015-01-23,0.014299490987654151
2015-01-26,0.014143445538849386
2015-01-27,0.0044255919142621725
2015-01-28,-0.0040117970527911995
2015-01-29,-0.0005420743541952877
2015-01-30,-0.004947626286188944
2015-02-02,0.0015691752948037152
2015-02-03,0.009111890761501984
2015-02-04,0.007576352623305471
2015-02-05,0.014578128519827427
2015-02-06,0.0074758593205519475
2015-02-09,0.00491729905681737
2015-02-10,0.012211461414029179
2015-02-11,0.011582939449322538
2015-02-12,0.019265629597387646
2015-02-13,0.023496497295216967
2015-02-17,0.021733751115732503
2015-02-18,0.022916403460988777
2015-02-19,0.022878345199332628
2015-02-20,0.02665993790890142
2015-02-23,0.027257933677647506
2015-02-24,0.029355798608156958
2015-02-25,0.02916198997526398
2015-02-26,0.02945324165193486
2015-02-27,0.026951128883901054
2015-03-02,0.03102927623557883
2015-03-03,0.027449250169707895
2015-03-04,0.024021017063345917
2015-03-05,0.025003186964197344
2015-03-06,0.010730397967221084
2015-03-09,0.013774429962957191
2015-03-10,0.0016636945414210125
2015-03-11,-0.0009029980600909759
2015-03-12,0.007232723835216115
2015-03-13,0.003204439534076453
2015-03-16,0.012865897933846071
2015-03-17,0.011135519234347191
2015-03-18,0.02280674757820611
2015-03-19,0.020105924517333618
2015-03-20,0.02795010134455933
2015-03-23,0.027416053100216775
2015-03-24,0.024241097716745985
2015-03-25,0.011741574836096502
2015-03-26,0.01022228451187912
2015-03-27,0.011935826928420434
2015-03-30,0.01949892298120881
2015-03-31,0.012775728973661415
2015-04-01,0.012990226759472812
2015-04-02,0.014458133119058303
2015-04-06,0.021321915569313843
2015-04-07,0.01888038812756454
2015-04-08,0.021469154217328645
2015-04-09,0.023645459196229623
2015-04-10,0.02865446161658558
2015-04-13,0.024883648512119327
2015-04-14,0.024891015334376876
2015-04-15,0.029861391257988368
2015-04-16,0.028944273314724045
2015-04-17,0.020572241499770882
2015-04-20,0.026953356298000886
2015-04-21,0.027731573642246543
2015-04-22,0.029033305804732068
2015-04-23,0.0324585729599951
2015-04-24,0.03443467371048414
2015-04-27,0.033827859337845156
2015-04-28,0.0357840246478327
2015-04-29,0.030867334293884552
2015-04-30,0.02016744903336365
2015-05-01,0.027345141745205748
2015-05-04,0.03026277094155083
2015-05-05,0.020883482573984313
2015-05-06,0.01709797966509874
2015-05-07,0.01962712996915905
2015-05-08,0.030128620248299987
2015-05-11,0.025520282580712816
2015-05-12,0.02391830309112275
2015-05-13,0.026637522130670055
2015-05-14,0.03601327799820697
2015-05-15,0.03767076747990994
2015-05-18,0.03975213841744063
2015-05-19,0.03719862313704181
2015-05-20,0.03713202497299806
2015-05-21,0.03972808538024575
2015-05-22,0.03807120122909691
2015-05-26,0.028421655532291146
2015-05-27,0.036661077801977804
2015-05-28,0.0358115292494956
2015-05-29,0.03124028873377127
2015-06-01,0.032438920793958825
2015-06-02,0.03141736562547348
2015-06-03,0.03200986452066523
2015-06-04,0.02540731339837965
2015-06-05,0.02289609032119988
2015-06-08,0.018173834164588953
2015-06-09,0.017491245558616697
2015-06-10,0.02739898075520464
2015-06-11,0.02957582361835831
2015-06-12,0.023801720473198396
2015-06-15,0.021018069982035925
2015-06-16,0.02501169362894662
2015-06-17,0.02706414527864509
2015-06-18,0.03696147351094492
2015-06-19,0.033767472978149415
2015-06-22,0.03579949514318925
2015-06-23,0.03521000941150754
2015-06-24,0.030011858897677213
2015-06-25,0.02753416674918019
2015-06-26,0.02601020745475635
2015-06-29,0.011263456437092367
2015-06-30,0.012229245317519899
2015-07-01,0.017006628708484017
2015-07-02,0.016616133171791114
2015-07-06,0.015528386203227162
2015-07-07,0.018060986385598277
2015-07-08,0.006384861440266176
2015-07-09,0.007110917501257363
2015-07-10,0.016058898575225022
2015-07-13,0.024467462679267804
2015-07-14,0.028145201574121703
2015-07-15,0.02778250908897495
2015-07-16,0.03426082412429832
2015-07-17,0.036127230210381445
2015-07-20,0.033510715026112026
2015-07-21,0.03097711495232458
2015-07-22,0.027334841008842314
2015-07-23,0.023258705243100364
2015-07-24,0.016779058143326697
2015-07-27,0.011637643458135338
2015-07-28,0.019881822378219782
2015-07-29,0.02447892011969821
2015-07-30,0.024648677401553742
2015-07-31,0.024933933102040617
2015-08-03,0.0218555962313145
2015-08-04,0.020149484711017074
2015-08-05,0.022750225891573717
2015-08-06,0.015772337788808377
2015-08-07,0.014908553008283087
2015-08-10,0.024869016037056157
2015-08-11,0.018605030171791048
2015-08-12,0.02145652658357089
2015-08-13,0.01912265355561371
2015-08-14,0.021411802941190494
2015-08-17,0.026812990428086714
2015-08-18,0.02398228771099209
2015-08-19,0.02027514728725155
2015-08-20,0.00562465225846287
2015-08-21,-0.01733869888669104
2015-08-24,-0.04663736541918906
2015-08-25,-0.05532745038478515
2015-08-26,-0.030501375721598056
2015-08-27,-0.013069110267295292
2015-08-28,-0.011801327200560263
2015-08-31,-0.018263170162952758
2015-09-01,-0.038627671996300905
2015-09-02,-0.024924890239196085
2015-09-03,-0.02604557123667639
2015-09-04,-0.035895150859983294
2015-09-08,-0.018451053638278037
2015-09-09,-0.029138469763849262
2015-09-10,-0.024531843546157117
