Date,Daily PnL
2015-01-05,-446.1277770996094
2015-01-06,-246.08009338378906
2015-01-07,361.80519104003906
2015-01-08,540.2915954589844
2015-01-09,-173.65943908691406
2015-01-12,-192.1192169189453
2015-01-13,-80.23521423339844
2015-01-14,-177.4573516845703
2015-01-15,-145.9619903564453
2015-01-16,460.1923370361328
2015-01-20,181.71829223632812
2015-01-21,145.133056640625
2015-01-22,558.3664703369141
2015-01-23,-138.85360717773438
2015-01-26,-7.0606231689453125
2015-01-27,-439.7058868408203
2015-01-28,-381.76841735839844
2015-01-29,156.9953155517578
2015-01-30,-199.3389892578125
2015-02-02,294.86717224121094
2015-02-03,341.28692626953125
2015-02-04,-69.47883605957031
2015-02-05,316.8109130859375
2015-02-06,-321.3579559326172
2015-02-09,-115.76774597167969
2015-02-10,330.04058837890625
2015-02-11,-28.438873291015625
2015-02-12,347.6203918457031
2015-02-13,191.4350128173828
2015-02-17,-79.75936889648438
2015-02-18,53.51173400878906
2015-02-19,-1.7220306396484375
2015-02-20,171.1065673828125
2015-02-23,27.057647705078125
2015-02-24,94.92256164550781
2015-02-25,-8.769302368164062
2015-02-26,13.178329467773438
2015-02-27,-113.21365356445312
2015-03-02,184.52484130859375
2015-03-03,-161.98623657226562
2015-03-04,-155.11802673339844
2015-03-05,44.440460205078125
2015-03-06,-645.8040618896484
2015-03-09,137.73399353027344
2015-03-10,-547.9771423339844
2015-03-11,-116.13571166992188
2015-03-12,368.1188201904297
2015-03-13,-182.2686767578125
2015-03-16,437.15415954589844
2015-03-17,-78.29483032226562
2015-03-18,528.0906677246094
2015-03-19,-122.20474243164062
2015-03-20,354.9272155761719
2015-03-23,-24.164199829101562
2015-03-24,-143.6579132080078
2015-03-25,-565.5686950683594
2015-03-26,-68.74366760253906
2015-03-27,77.53303527832031
2015-03-30,342.20909118652344
2015-03-31,-304.2058563232422
2015-04-01,9.705429077148438
2015-04-02,66.41868591308594
2015-04-06,310.5670928955078
2015-04-07,-110.47233581542969
2015-04-08,117.13447570800781
2015-04-09,98.47175598144531
2015-04-10,226.64344787597656
2015-04-13,-170.6188201904297
2015-04-14,0.3333282470703125
2015-04-15,224.8957061767578
2015-04-16,-41.497039794921875
2015-04-17,-378.8111877441406
2015-04-20,288.72772216796875
2015-04-21,35.21217346191406
2015-04-22,58.89976501464844
2015-04-23,154.98382568359375
2015-04-24,89.41307067871094
2015-04-27,-27.4566650390625
2015-04-28,88.51104736328125
2015-04-29,-222.46658325195312
2015-04-30,-484.1400909423828
2015-05-01,324.7706604003906
2015-05-04,132.01461791992188
2015-05-05,-424.3867492675781
2015-05-06,-171.2834930419922
2015-05-07,114.43702697753906
2015-05-08,475.16326904296875
2015-05-11,-208.5144805908203
2015-05-12,-72.48512268066406
2015-05-13,123.037109375
2015-05-14,424.22691345214844
2015-05-15,74.99679565429688
2015-05-18,94.17625427246094
2015-05-19,-115.53947448730469
2015-05-20,-3.0133819580078125
2015-05-21,117.46452331542969
2015-05-22,-74.96940612792969
2015-05-26,-436.6151428222656
2015-05-27,372.81097412109375
2015-05-28,-38.43971252441406
2015-05-29,-206.8359375
2015-06-01,54.234771728515625
2015-06-02,-46.2225341796875
2015-06-03,26.808929443359375
2015-06-04,-298.7471008300781
2015-06-05,-113.62586975097656
2015-06-08,-213.66897583007812
2015-06-09,-30.885238647460938
2015-06-10,448.29750061035156
2015-06-11,98.49609375
2015-06-12,-261.2621307373047
2015-06-15,-125.95245361328125
2015-06-16,180.70037841796875
2015-06-17,92.86773681640625
2015-06-18,447.8266143798828
2015-06-19,-144.5196533203125
2015-06-22,91.943359375
2015-06-23,-26.672592163085938
2015-06-24,-235.20187377929688
2015-06-25,-112.10868835449219
2015-06-26,-68.95492553710938
2015-06-29,-667.2495269775391
2015-06-30,43.69926452636719
2015-07-01,216.163330078125
2015-07-02,-17.668838500976562
2015-07-06,-49.217529296875
2015-07-07,114.59312438964844
2015-07-08,-528.3122253417969
2015-07-09,32.852020263671875
2015-07-10,404.8712921142578
2015-07-13,380.46417236328125
2015-07-14,166.407470703125
2015-07-15,-16.41082763671875
2015-07-16,293.1257629394531
2015-07-17,84.44969177246094
2015-07-20,-118.39004516601562
2015-07-21,-114.63836669921875
2015-07-22,-164.8027801513672
2015-07-23,-184.43382263183594
2015-07-24,-293.18603515625
2015-07-27,-232.63473510742188
2015-07-28,373.0261993408203
2015-07-29,208.0059051513672
2015-07-30,7.6810455322265625
2015-07-31,12.907028198242188
2015-08-03,-139.28619384765625
2015-08-04,-77.19680786132812
2015-08-05,117.67631530761719
2015-08-06,-315.7300567626953
2015-08-07,-39.0838623046875
2015-08-10,450.68328857421875
2015-08-11,-283.42796325683594
2015-08-12,129.0222930908203
2015-08-13,-105.60127258300781
2015-08-14,103.57765197753906
2015-08-17,244.38873291015625
2015-08-18,-128.08143615722656
2015-08-19,-167.73780822753906
2015-08-20,-662.8942108154297
2015-08-21,-1039.0278625488281
2015-08-24,-1325.6832885742188
2015-08-25,-393.20220947265625
2015-08-26,1123.3109283447266
2015-08-27,788.7615966796875
2015-08-28,57.36366271972656
2015-08-31,-292.3804473876953
2015-09-01,-921.4371490478516
2015-09-02,620.0128173828125
2015-09-03,-50.70770263671875
2015-09-04,-445.66612243652344
2015-09-08,789.2969512939453
2015-09-09,-483.5758972167969
2015-09-10,208.43704223632812
2015-09-11,155.455322265625
2015-09-14,-109.00848388671875
2015-09-15,346.10107421875
2015-09-16,319.11888122558594
2015-09-17,50.265350341796875
2015-09-18,-447.5761413574219
2015-09-21,79.54727172851562
2015-09-22,-457.3352813720703
2015-09-23,-13.578262329101562
2015-09-24,2.31964111328125
2015-09-25,-131.70608520507812
2015-09-28,-875.0318145751953
2015-09-29,-47.509002685546875
2015-09-30,557.4845886230469
2015-10-01,88.40751647949219
2015-10-02,621.88720703125
2015-10-05,501.55494689941406
2015-10-06,-54.7247314453125
2015-10-07,243.81149291992188
2015-10-08,209.67239379882812
2015-10-09,141.7644500732422
2015-10-12,70.97061157226562
2015-10-13,-182.9547882080078
2015-10-14,-9.170761108398438
2015-10-15,462.1257781982422
2015-10-16,97.94189453125
2015-10-19,39.8126220703125
2015-10-20,-48.19671630859375
2015-10-21,-253.1372833251953
2015-10-22,572.8520202636719
2015-10-23,470.8103942871094
2015-10-26,-52.010498046875
2015-10-27,-28.66058349609375
2015-10-28,306.19293212890625
