Date,Portfolio Return,Estimated Daily Loss,VaR Amount,VaR Breach
2015-01-05,-0.0098597825625333,1913.7002333694202,5256.976985567975,False
2015-01-06,-0.0054927249872747,1066.0913689846027,5256.976985567975,False
2015-01-07,0.0081204145628903,-1576.1036458462083,5256.976985567975,False
2015-01-08,0.0120287143113522,-2334.6715040391687,5256.976985567975,False
2015-01-09,-0.0038202919856125,741.486297292905,5256.976985567975,False
2015-01-12,-0.0042425921126593,823.4511729436471,5256.976985567975,False
2015-01-13,-0.0017793932673326,345.3651527661537,5256.976985567975,False
2015-01-14,-0.0039425244147383,765.2105758619097,5256.976985567975,False
2015-01-15,-0.0032556354818877,631.8912554044687,5256.976985567975,False
2015-01-16,0.0102979692337534,-1998.7485526051557,5256.976985567975,False
2015-01-20,0.0040249581955789,-781.2102740937586,5256.976985567975,False
2015-01-21,0.0032017289330852,-621.4284511418786,5256.976985567975,False
2015-01-22,0.0122786120514599,-2383.1745375015744,5256.976985567975,False
2015-01-23,-0.0030163869426822,585.4551415848124,5256.976985567975,False
2015-01-26,-0.0001538455359499,29.860114681324422,5256.976985567975,False
2015-01-27,-0.009582326511437,1859.8483653018222,5256.976985567975,False
2015-01-28,-0.008400213052092,1630.4101612978156,5256.976985567975,False
2015-01-29,0.0034836985903334,-676.1563719105831,5256.976985567975,False
2015-01-30,-0.0044079413639618,855.5440612805022,5256.976985567975,False
2015-02-02,0.0065492045978143,-1271.14510768695,5256.976985567975,False
2015-02-03,0.0075308981673463,-1461.683509644159,5256.976985567975,False
2015-02-04,-0.0015216728216707,295.3437984533939,5256.976985567975,False
2015-02-05,0.0069491268609991,-1348.7666296152938,5256.976985567975,False
2015-02-06,-0.0070002191054887,1358.6832012620819,5256.976985567975,False
2015-02-09,-0.0025395747600942,492.9099379451904,5256.976985567975,False
2015-02-10,0.0072584702881102,-1408.807567120685,5256.976985567975,False
2015-02-11,-0.0006209393873377,120.51907259820041,5256.976985567975,False
2015-02-12,0.0075947209551074,-1474.0709718481248,5256.976985567975,False
2015-02-13,0.0041508980338134,-805.654129350334,5256.976985567975,False
2015-02-17,-0.0017222786635253,334.27969221551564,5256.976985567975,False
2015-02-18,0.0011574956234583,-224.66009069545848,5256.976985567975,False
2015-02-19,-3.72056421497069e-05,7.221299822078379,5256.976985567975,False
2015-02-20,0.0036970112108805,-717.5585437265042,5256.976985567975,False
2015-02-23,0.0005824672285978,-113.05195263974002,5256.976985567975,False
2015-02-24,0.0020421988107688,-396.3734814605153,5256.976985567975,False
2015-02-25,-0.0001882814796932,36.54383951601465,5256.976985567975,False
2015-02-26,0.0002829988665611,-54.927681573751684,5256.976985567975,False
2015-02-27,-0.0024305259013209,471.7444786503645,5256.976985567975,False
2015-03-02,0.0039711211536521,-770.7609605266686,5256.976985567975,False
2015-03-03,-0.00347228361831,673.940822583147,5256.976985567975,False
2015-03-04,-0.0033366447109632,647.6144602118401,5256.976985567975,False
2015-03-05,0.0009591306081471,-186.15912237432366,5256.976985567975,False
2015-03-06,-0.0139246288972513,2702.652457216638,5256.976985567975,False
2015-03-09,0.0030117150942114,-584.548375390717,5256.976985567975,False
2015-03-10,-0.0119461835528628,2318.6529832675765,5256.976985567975,False
2015-03-11,-0.0025624295015374,497.34584956454484,5256.976985567975,False
2015-03-12,0.008143075076304,-1580.5018594511262,5256.976985567975,False
2015-03-13,-0.0039993580488542,776.2415025766753,5256.976985567975,False
2015-03-16,0.0096305977316615,-1869.2174000470384,5256.976985567975,False
2015-03-17,-0.001708398617259,331.58569286912723,5256.976985567975,False
2015-03-18,0.0115426944478189,-2240.339167563497,5256.976985567975,False
2015-03-19,-0.0026405995729569,512.5179979328518,5256.976985567975,False
2015-03-20,0.0076895708952353,-1492.480541370234,5256.976985567975,False
2015-03-23,-0.0005195274008379,100.83586548888862,5256.976985567975,False
2015-03-24,-0.0030902333810051,599.7881094120181,5256.976985567975,False
2015-03-25,-0.0122036919906001,2368.633188638946,5256.976985567975,False
2015-03-26,-0.0015016584886942,291.4591860448602,5256.976985567975,False
2015-03-27,0.0016962033433753,-329.2186935636938,5256.976985567975,False
2015-03-30,0.007473889007117,-1450.6185147983724,5256.976985567975,False
2015-03-31,-0.0065946062874566,1279.957190865538,5256.976985567975,False
2015-04-01,0.000211791988764,-41.107030074231574,5256.976985567975,False
2015-04-02,0.0014490824499671,-281.2546225117837,5256.976985567975,False
2015-04-06,0.0067659593098752,-1313.2153602938483,5256.976985567975,False
2015-04-07,-0.0023905562041997,463.9866991837864,5256.976985567975,False
2015-04-08,0.0025407948959754,-493.14675597903505,5256.976985567975,False
2015-04-09,0.0021305635808146,-413.52433443174283,5256.976985567975,False
2015-04-10,0.0048932981388782,-949.7476978753336,5256.976985567975,False
2015-04-13,-0.0036657723707728,711.4953496119135,5256.976985567975,False
2015-04-14,7.187959597532156e-06,-1.3951220396601716,5256.976985567975,False
2015-04-15,0.0048496628902439,-941.2784659257461,5256.976985567975,False
2015-04-16,-0.0008905256096105,172.84347358824456,5256.976985567975,False
2015-04-17,-0.0081365259830669,1579.2307359576105,5256.976985567975,False
2015-04-20,0.0062524871231581,-1213.5547605476456,5256.976985567975,False
2015-04-21,0.0007577922984263,-147.08106280706448,5256.976985567975,False
2015-04-22,0.0012666071529476,-245.8377138451234,5256.976985567975,False
2015-04-23,0.0033286261347822,-646.0581225328348,5256.976985567975,False
2015-04-24,0.0019139758264814,-371.48648690481843,5256.976985567975,False
2015-04-27,-0.000586614493946,113.85690169559996,5256.976985567975,False
2015-04-28,0.0018921576665966,-367.2517669808828,5256.976985567975,False
2015-04-29,-0.0047468296835528,921.3194120221962,5256.976985567975,False
2015-04-30,-0.0103794978311636,2014.572562404627,5256.976985567975,False
2015-05-01,0.0070357986021247,-1365.5888800215926,5256.976985567975,False
2015-05-04,0.0028399698190899,-551.21407303713,5256.976985567975,False
2015-05-05,-0.0091037826776899,1766.9670628480258,5256.976985567975,False
2015-05-06,-0.0037080655858405,719.7041042200077,5256.976985567975,False
2015-05-07,0.0024866338884019,-482.63456342554133,5256.976985567975,False
2015-05-08,0.0102993437213252,-1999.01532899401,5256.976985567975,False
2015-05-11,-0.0044735556094698,868.2792302504714,5256.976985567975,False
2015-05-12,-0.0015621139014028,303.1930692897628,5256.976985567975,False
2015-05-13,0.0026556992206683,-515.4487115835673,5256.976985567975,False
2015-05-14,0.0091324889899588,-1772.5387147723713,5256.976985567975,False
2015-05-15,0.0015998728171762,-310.52175483318575,5256.976985567975,False
2015-05-18,0.0020058105159748,-389.31082183313083,5256.976985567975,False
2015-05-19,-0.0024558884623073,476.66713678919155,5256.976985567975,False
2015-05-20,-6.420965334730244e-05,12.462549535547858,5256.976985567975,False
2015-05-21,0.002503114690066,-485.8333473531455,5256.976985567975,False
2015-05-22,-0.0015935744878363,309.299302486883,5256.976985567975,False
2015-05-26,-0.0092956491668205,1804.2067223127533,5256.976985567975,False
2015-05-27,0.0080117160362807,-1555.0061830552784,5256.976985567975,False
2015-05-28,-0.0008195046295008,159.0589032543591,5256.976985567975,False
2015-05-29,-0.0044131971759731,856.5641698486961,5256.976985567975,False
2015-06-01,0.0011623208221036,-225.59662085877596,5256.976985567975,False
2015-06-02,-0.0009894582119199,192.04545323907152,5256.976985567975,False
2015-06-03,0.0005744511532752,-111.49610035615527,5256.976985567975,False
2015-06-04,-0.0063977597010201,1241.7509367202422,5256.976985567975,False
2015-06-05,-0.0024490005526262,475.3302518953768,5256.976985567975,False
2015-06-08,-0.0046165550942013,896.0342183109857,5256.976985567975,False
2015-06-09,-0.0006704047806652,130.11988622204822,5256.976985567975,False
2015-06-10,0.0097374156680318,-1889.949856210591,5256.976985567975,False
2015-06-11,0.0021187901720065,-411.23921556216146,5256.976985567975,False
2015-06-12,-0.0056082349766791,1088.5108789766061,5256.976985567975,False
2015-06-15,-0.0027189351565807,527.7222708172915,5256.976985567975,False
2015-06-16,0.0039114132886803,-759.1721699619844,5256.976985567975,False
2015-06-17,0.0020023690095005,-388.64285459336264,5256.976985567975,False
2015-06-18,0.009636523948185,-1870.3676284493476,5256.976985567975,False
2015-06-19,-0.0030801535200543,597.8316938286586,5256.976985567975,False
2015-06-22,0.0019656472254692,-381.5154675313517,5256.976985567975,False
2015-06-23,-0.0005691118159893,110.45978024004111,5256.976985567975,False
2015-06-24,-0.0050213487761631,974.6012413384924,5256.976985567975,False
2015-06-25,-0.0024054986620722,466.88690361896096,5256.976985567975,False
2015-06-26,-0.0014831227454412,287.8615553705557,5256.976985567975,False
2015-06-29,-0.0143729086811392,2789.6597640816944,5256.976985567975,False
2015-06-30,0.0009550319200004,-185.36360174158133,5256.976985567975,False
2015-07-01,0.0047196654444277,-916.0470634259358,5256.976985567975,False
2015-07-02,-0.0003839655766932,74.5244643138264,5256.976985567975,False
2015-07-06,-0.0010699682338999,207.67176618000488,5256.976985567975,False
2015-07-07,0.0024938743385005,-484.0398734265998,5256.976985567975,False
2015-07-08,-0.0114689837853285,2226.0325526746747,5256.976985567975,False
2015-07-09,0.0007214497045913,-140.02727334850465,5256.976985567975,False
2015-07-10,0.0088848019800722,-1724.4647653098618,5256.976985567975,False
2015-07-13,0.0082756660227412,-1606.2366384414604,5256.976985567975,False
2015-07-14,0.0035899030753359,-696.7697623626685,5256.976985567975,False
2015-07-15,-0.0003527638747828,68.46847840858409,5256.976985567975,False
2015-07-16,0.0063031964234006,-1223.397005961538,5256.976985567975,False
2015-07-17,0.0018045796984174,-350.2536255837876,5256.976985567975,False
2015-07-20,-0.0025252836794358,490.13616030682687,5256.976985567975,False
2015-07-21,-0.0024514502239326,475.805712334895,5256.976985567975,False
2015-07-22,-0.0035328368502636,685.6936917144825,5256.976985567975,False
2015-07-23,-0.0039676798673929,770.0930360287849,5256.976985567975,False
2015-07-24,-0.0063323645003676,1229.0582825003123,5256.976985567975,False
2015-07-27,-0.0050565701998031,981.4374211641613,5256.976985567975,False
2015-07-28,0.0081493398089684,-1581.7177909674476,5256.976985567975,False
2015-07-29,0.0045074808086673,-874.8638238974006,5256.976985567975,False
2015-07-30,0.0001657010979159,-32.161178782603194,5256.976985567975,False
2015-07-31,0.0002783936648511,-54.03385095109382,5256.976985567975,False
2015-08-03,-0.0030034490724775,582.944010627004,5256.976985567975,False
2015-08-04,-0.0016696209587634,324.05927799720706,5256.976985567975,False
2015-08-05,0.0025493726356129,-494.8116225460162,5256.976985567975,False
2015-08-06,-0.0068226708008618,1324.2225800623844,5256.976985567975,False
2015-08-07,-0.0008503724194789,165.05007968345785,5256.976985567975,False
2015-08-10,0.0098141482789253,-1904.8430056733318,5256.976985567975,False
2015-08-11,-0.0061119867683059,1186.284832416486,5256.976985567975,False
2015-08-12,0.0027994132439137,-543.3423855138894,5256.976985567975,False
2015-08-13,-0.0022848481234568,443.4696565914449,5256.976985567975,False
2015-08-14,0.0022461961546926,-435.9676370311645,5256.976985567975,False
2015-08-17,0.0052879626721986,-1026.3487389964505,5256.976985567975,False
2015-08-18,-0.0027567850655205,535.0686173631423,5256.976985567975,False
2015-08-19,-0.0036203169412505,702.672835978065,5256.976985567975,False
2015-08-20,-0.0143593569516438,2787.0294882380413,5256.976985567975,False
2015-08-21,-0.0228349127018536,4432.063028708396,5256.976985567975,False
2015-08-24,-0.029815630776651,5786.961245185246,5256.976985567975,True
2015-08-25,-0.0091151935794264,1769.1818221672702,5256.976985567975,False
2015-08-26,0.0262800847482009,-5100.741724945148,5256.976985567975,False
2015-08-27,0.0179807015892132,-3489.901791361841,5256.976985567975,False
2015-08-28,0.0012845712703128,-249.32439677915616,5256.976985567975,False
2015-08-31,-0.0065390119823647,1269.1668074109718,5256.976985567975,False
2015-09-01,-0.0207433409997751,4026.1066874817298,5256.976985567975,False
2015-09-02,0.0142533557061694,-2766.455544855897,5256.976985567975,False
2015-09-03,-0.0011493278684502,223.07479867040905,5256.976985567975,False
2015-09-04,-0.0101129779098734,1962.8433044482922,5256.976985567975,False
2015-09-08,0.0180935685960561,-3511.8083208380312,5256.976985567975,False
2015-09-09,-0.0108883170474441,2113.3300600231805,5256.976985567975,False
2015-09-10,0.0047448849029703,-920.9419465932197,5256.976985567975,False
2015-09-11,0.0035220909940321,-683.6080120914734,5256.976985567975,False
2015-09-14,-0.0024610947763602,477.6776382231572,5256.976985567975,False
2015-09-15,0.0078332347839527,-1520.3644846135633,5256.976985567975,False
2015-09-16,0.0071664161118227,-1390.9406316657962,5256.976985567975,False
2015-09-17,0.0011207712935883,-217.53220950773198,5256.976985567975,False
2015-09-18,-0.009968475378643,1934.7965878007158,5256.976985567975,False
2015-09-21,0.0017895262697409,-347.3318826560382,5256.976985567975,False
2015-09-22,-0.0102700133655622,1993.3225555162508,5256.976985567975,False
2015-09-23,-0.0003080801864939,59.79575320760322,5256.976985567975,False
2015-09-24,5.2647067962707794e-05,-10.218349705732606,5256.976985567975,False
2015-09-25,-0.0029890719503316,580.1535330651215,5256.976985567975,False
2015-09-28,-0.0199184001533866,3865.9926606016056,5256.976985567975,False
2015-09-29,-0.0011034287298393,214.16616486291397,5256.976985567975,False
2015-09-30,0.0129622596696465,-2515.8647462529934,5256.976985567975,False
2015-10-01,0.0020292884192871,-393.8676838899579,5256.976985567975,False
2015-10-02,0.0142457655771714,-2764.9823651440065,5256.976985567975,False
2015-10-05,0.0113279020624597,-2198.649785938608,5256.976985567975,False
2015-10-06,-0.0012221446667899,237.20792210311228,5256.976985567975,False
2015-10-07,0.0054516033155924,-1058.1100010187415,5256.976985567975,False
2015-10-08,0.0046628361599168,-905.0169809326375,5256.976985567975,False
2015-10-09,0.0031380214099447,-609.0633608238992,5256.976985567975,False
2015-10-12,0.001566052874208,-303.9575905283133,5256.976985567975,False
2015-10-13,-0.0040308074934835,782.3455732440275,5256.976985567975,False
2015-10-14,-0.0002028652930743,39.374434094933676,5256.976985567975,False
2015-10-15,0.0102247024709782,-1984.5280948889872,5256.976985567975,False
2015-10-16,0.0021450676882592,-416.33945876389805,5256.976985567975,False
2015-10-19,0.0008700870172053,-168.87651602021438,5256.976985567975,False
2015-10-20,-0.0010524019589879,204.26230109440885,5256.976985567975,False
2015-10-21,-0.0055332157628733,1073.9502853674849,5256.976985567975,False
2015-10-22,0.012591389472137,-2443.881984054905,5256.976985567975,False
2015-10-23,0.0102198146850804,-1983.5794170703887,5256.976985567975,False
2015-10-26,-0.0011175632407897,216.90955364788869,5256.976985567975,False
2015-10-27,-0.000616526497427,119.66256806593714,5256.976985567975,False
2015-10-28,0.0065906722815907,-1279.1936336678107,5256.976985567975,False
2015-10-29,-0.0024362312057822,472.8518298936386,5256.976985567975,False
2015-10-30,-0.0032001913449135,621.1300183088676,5256.976985567975,False
2015-11-02,0.0076740652939966,-1489.4710355803409,5256.976985567975,False
2015-11-03,0.0001765877692827,-34.274189429960565,5256.976985567975,False
2015-11-04,-0.0025309483525599,491.23562535190257,5256.976985567975,False
2015-11-05,-0.0016962962132927,329.2367188275852,5256.976985567975,False
2015-11-06,-0.0022917978922846,444.8185478213756,5256.976985567975,False
2015-11-09,-0.0070273605329445,1363.951122306661,5256.976985567975,False
2015-11-10,0.0007311467921238,-141.90939585539095,5256.976985567975,False
2015-11-11,-0.0028187549147816,547.0964399079799,5256.976985567975,False
2015-11-12,-0.0095916308911885,1861.654266556629,5256.976985567975,False
2015-11-13,-0.0096427406779302,1871.5742430058788,5256.976985567975,False
2015-11-16,0.010971269845887,-2129.4304951729428,5256.976985567975,False
2015-11-17,-0.0016999769018379,329.95110928023826,5256.976985567975,False
