Date,BND,GLD,QQQ,SPY,VTI
2015-01-02,59.405399322509766,114.08000183105469,94.56114959716797,169.68785095214844,87.5655288696289
2015-01-05,59.57792282104492,115.80000305175781,93.174072265625,166.6233673095703,86.06090545654297
2015-01-06,59.75041961669922,117.12000274658203,91.92474365234375,165.053955078125,85.21765899658203
2015-01-07,59.78636169433594,116.43000030517578,93.10973358154297,167.1107177734375,86.23451232910156
2015-01-08,59.69292068481445,115.94000244140625,94.89186096191406,170.07601928710938,87.75566864013672
2015-01-09,59.79355239868164,117.26000213623047,94.2671890258789,168.713134765625,87.02819061279297
2015-01-12,59.872596740722656,118.55999755859375,93.28428649902344,167.39146423339844,86.40813446044922
2015-01-13,59.93012619018555,118.16000366210938,93.25670623779297,166.9207000732422,86.20973205566406
2015-01-14,60.06661605834961,117.97000122070312,92.74232482910156,165.91297912597656,85.73847198486328
2015-01-15,60.332618713378906,120.94000244140625,91.5389175415039,164.3931121826172,84.87043762207031
2015-01-16,60.15293884277344,122.5199966430664,92.61367797851562,166.5489501953125,85.99476623535156
2015-01-20,60.088233947753906,124.19999694824219,93.34858703613281,166.9042510986328,86.11876678466797
2015-01-21,59.97321319580078,124.2300033569336,93.82627868652344,167.74673461914062,86.50733947753906
2015-01-22,59.9875602722168,125.2300033569336,95.56243896484375,170.24122619628906,87.82181549072266
2015-01-23,60.181663513183594,124.2300033569336,95.7737045288086,169.30789184570312,87.42499542236328
2015-01-26,60.10977554321289,122.98999786376953,95.66349792480469,169.70436096191406,87.78872680664062
2015-01-27,60.145748138427734,124.4000015258789,93.18327331542969,167.4658966064453,86.76363372802734
2015-01-28,60.361324310302734,123.41999816894531,92.70557403564453,165.3182373046875,85.58968353271484
2015-01-29,60.29664993286133,120.76000213623047,93.59663391113281,166.84634399414062,86.40813446044922
2015-01-30,60.62731170654297,123.44999694824219,92.87091064453125,164.74827575683594,85.23420715332031
2015-02-02,60.555328369140625,122.41999816894531,93.67929077148438,166.78854370117188,86.19318389892578
2015-02-03,60.36803436279297,121.05000305175781,94.57952117919922,169.20050048828125,87.51593780517578
2015-02-04,60.389625549316406,121.58000183105469,94.49684143066406,168.55624389648438,87.21005249023438
2015-02-05,60.25999450683594,121.79000091552734,95.31438446044922,170.25779724121094,88.16902923583984
2015-02-06,59.87106704711914,118.63999938964844,94.73571014404297,169.78697204589844,87.90447235107422
2015-02-09,59.84947967529297,119.16999816894531,94.43254089355469,169.02706909179688,87.46632385253906
2015-02-10,59.741455078125,118.47000122070312,95.90229797363281,170.82774353027344,88.35916137695312
2015-02-11,59.741455078125,117.06999969482422,96.25138092041016,170.9268798828125,88.40050506591797
2015-02-12,59.7702522277832,117.33999633789062,97.37210845947266,172.5706024169922,89.25199890136719
2015-02-13,59.633384704589844,117.9800033569336,98.2080078125,173.28097534179688,89.67366027832031
2015-02-17,59.39573287963867,116.01000213623047,98.29985809326172,173.55360412597656,89.81419372558594
2015-02-18,59.56136703491211,116.33999633789062,98.43766784667969,173.57008361816406,89.86378479003906
2015-02-19,59.51097106933594,115.94000244140625,98.92451477050781,173.4461669921875,89.83899688720703
2015-02-20,59.52540588378906,115.27999877929688,99.58590698242188,174.48695373535156,90.34326934814453
2015-02-23,59.64781951904297,115.43000030517578,99.6869888305664,174.4622039794922,90.33500671386719
2015-02-24,59.89269256591797,115.26000213623047,99.76042938232422,174.9578094482422,90.54169464111328
2015-02-25,59.95027160644531,115.69999694824219,99.51245880126953,174.80917358398438,90.50861358642578
2015-02-26,59.78463363647461,116.06999969482422,100.01763153076172,174.60263061523438,90.4507827758789
2015-02-27,59.835079193115234,116.16000366210938,99.57671356201172,174.0078887939453,90.12834167480469
2015-03-02,59.64167785644531,115.68000030517578,100.4769515991211,175.1064910888672,90.6822738647461
2015-03-03,59.56948471069336,115.47000122070312,100.00849914550781,174.38787841796875,90.31021118164062
2015-03-04,59.56948471069336,115.11000061035156,99.6226806640625,173.65272521972656,89.94646453857422
2015-03-05,59.60559844970703,115.0,99.79720306396484,173.84268188476562,90.0870132446289
2015-03-06,59.25923156738281,111.86000061035156,98.66727447509766,171.39772033691406,88.83868408203125
2015-03-09,59.331363677978516,111.97000122070312,98.95209503173828,172.1080322265625,89.16936492919922
2015-03-10,59.56230163574219,111.41999816894531,97.11486053466797,169.316162109375,87.81354522705078
2015-03-11,59.62724304199219,110.75,96.55455780029297,168.91966247558594,87.74738311767578
2015-03-12,59.670509338378906,110.72000122070312,97.1883544921875,171.0673065185547,88.846923828125
2015-03-13,59.61280822753906,110.87999725341797,96.76580810546875,170.01829528808594,88.3509292602539
2015-03-16,59.7282600402832,110.80999755859375,98.0151138305664,172.2898406982422,89.4587173461914
2015-03-17,59.778751373291016,110.20999908447266,98.17125701904297,171.7776336669922,89.28511047363281
2015-03-18,60.146785736083984,112.37000274658203,99.13578796386719,173.84268188476562,90.31021118164062
2015-03-19,59.96640396118164,112.29000091552734,99.28275299072266,173.04969787597656,89.98779296875
2015-03-20,60.125152587890625,113.56999969482422,99.9254150390625,174.57725524902344,90.7401123046875
2015-03-23,60.15401077270508,114.29000091552734,99.73209381103516,174.23699951171875,90.58304595947266
2015-03-24,60.25505447387695,114.56999969482422,99.37301635742188,173.2579803466797,90.10354614257812
2015-03-25,60.16122817993164,114.7300033569336,97.09883880615234,170.7190399169922,88.69819641113281
2015-03-26,59.96640396118164,115.4800033569336,96.76736450195312,170.3125457763672,88.5237808227539
2015-03-27,60.02410125732422,115.05999755859375,97.1540756225586,170.70249938964844,88.76464080810547
