Date,SPY,QQQ,GLD,BND,VTI
2015-01-02,16968.785095214844,7564.891967773437,5704.0000915527335,7128.647918701172,7880.897598266602
2015-01-05,16662.33673095703,7453.92578125,5790.00015258789,7149.350738525391,7745.481491088867
2015-01-06,16505.3955078125,7353.979492187501,5856.0001373291025,7170.050354003906,7669.589309692383
2015-01-07,16711.07177734375,7448.778686523437,5821.500015258789,7174.3634033203125,7761.106109619141
2015-01-08,17007.601928710938,7591.348876953125,5797.000122070312,7163.150482177734,7898.010177612305
2015-01-09,16871.3134765625,7541.3751220703125,5863.000106811524,7175.226287841797,7832.537155151367
2015-01-12,16739.146423339844,7462.742919921875,5927.999877929688,7184.711608886719,7776.73210144043
2015-01-13,16692.07000732422,7460.536499023437,5908.000183105469,7191.615142822266,7758.875885009766
2015-01-14,16591.297912597656,7419.385986328125,5898.500061035156,7207.993927001953,7716.462478637695
2015-01-15,16439.31121826172,7323.1134033203125,6047.000122070312,7239.914245605469,7638.339385986328
2015-01-16,16654.89501953125,7409.09423828125,6125.99983215332,7218.3526611328125,7739.528961181641
2015-01-20,16690.42510986328,7467.886962890624,6209.99984741211,7210.58807373047,7750.689010620117
2015-01-21,16774.673461914062,7506.102294921875,6211.50016784668,7196.785583496094,7785.660552978516
2015-01-22,17024.122619628906,7644.995117187501,6261.50016784668,7198.507232666016,7903.963394165039
2015-01-23,16930.789184570312,7661.8963623046875,6211.50016784668,7221.799621582032,7868.249588012695
2015-01-26,16970.436096191406,7653.079833984374,6149.499893188476,7213.173065185547,7900.985412597656
2015-01-27,16746.58966064453,7454.661865234374,6220.000076293945,7217.489776611327,7808.727035522461
2015-01-28,16531.82373046875,7416.445922851562,6170.9999084472665,7243.358917236328,7703.071517944336
2015-01-29,16684.634399414062,7487.730712890624,6038.000106811524,7235.597991943359,7776.73210144043
2015-01-30,16474.827575683594,7429.672851562499,6172.49984741211,7275.277404785156,7671.078643798828
2015-02-02,16678.854370117188,7494.34326171875,6120.9999084472665,7266.639404296876,7757.38655090332
2015-02-03,16920.050048828125,7566.3616943359375,6052.50015258789,7244.164123535156,7876.43440246582
2015-02-04,16855.624389648438,7559.747314453125,6079.0000915527335,7246.755065917969,7848.904724121094
2015-02-05,17025.779724121094,7625.1507568359375,6089.500045776367,7231.1993408203125,7935.212631225586
2015-02-06,16978.697204589844,7578.856811523437,5931.999969482422,7184.528045654297,7911.40251159668
2015-02-09,16902.706909179688,7554.603271484374,5958.4999084472665,7181.937561035156,7871.969146728516
2015-02-10,17082.774353027344,7672.183837890624,5923.500061035156,7168.974609375,7952.324523925781
2015-02-11,17092.68798828125,7700.1104736328125,5853.499984741211,7168.974609375,7956.045455932617
2015-02-12,17257.06024169922,7789.7686767578125,5866.999816894531,7172.430267333984,8032.679901123047
2015-02-13,17328.097534179688,7856.640625,5899.00016784668,7156.00616455078,8070.629425048828
2015-02-17,17355.360412597656,7863.9886474609375,5800.500106811524,7127.487945556641,8083.277435302734
2015-02-18,17357.008361816406,7875.013427734374,5816.999816894531,7147.364044189453,8087.740631103516
2015-02-19,17344.61669921875,7913.961181640624,5797.000122070312,7141.3165283203125,8085.509719848633
2015-02-20,17448.695373535156,7966.87255859375,5763.999938964844,7143.0487060546875,8130.894241333007
2015-02-23,17446.22039794922,7974.9591064453125,5771.500015258789,7157.738342285156,8130.150604248048
